monarch	regnalyearnumber	regnalyeardaterangetext
Hen. 2	21	1174-12-19J11/1175-12-18J11
Hen. 2	22	1175-12-19J11/1176-12-18J11
Hen. 2	23	1176-12-19J11/1177-12-18J11
Hen. 2	24	1177-12-19J11/1178-12-18J11
Hen. 2	25	1178-12-19J11/1179-12-18J11
Hen. 2	26	1179-12-19J11/1180-12-18J11
Hen. 2	27	1180-12-19J11/1181-12-18J11
Hen. 2	28	1181-12-19J11/1182-12-18J11
Hen. 2	29	1182-12-19J11/1183-12-18J11
Hen. 2	30	1183-12-19J11/1184-12-18J11
Hen. 2	31	1184-12-19J11/1185-12-18J11
Hen. 2	32	1185-12-19J11/1186-12-18J11
Hen. 2	33	1186-12-19J11/1187-12-18J11
Hen. 2	35	1188-12-19J11/1189-07-06J11
Hen. 3	27	1242-10-28J11/1243-10-27J11
Hen. 3	28	1243-10-28J11/1244-10-27J11
Hen. 3	29	1244-10-28J11/1245-10-27J11
Hen. 3	1	1216-10-28J11/1217-10-27J11
Hen. 3	2	1217-10-28J11/1218-10-27J11
Hen. 3	3	1218-10-28J11/1219-10-27J11
Hen. 3	4	1219-10-28J11/1220-10-27J11
Hen. 3	31	1246-10-28J11/1247-10-27J11
Hen. 3	32	1247-10-28J11/1248-10-27J11
Hen. 3	33	1248-10-28J11/1249-10-27J11
Hen. 3	34	1249-10-28J11/1250-10-27J11
Hen. 3	35	1250-10-28J11/1251-10-27J11
Hen. 3	36	1251-10-28J11/1252-10-27J11
Hen. 3	37	1252-10-28J11/1253-10-27J11
Hen. 3	42	1257-10-28J11/1258-10-27J11
Hen. 3	41	1256-10-28J11/1257-10-27J11
Hen. 3	40	1255-10-28J11/1256-10-27J11
Hen. 3	39	1254-10-28J11/1255-10-27J11
Hen. 3	38	1253-10-28J11/1254-10-27J11
Hen. 3	51	1266-10-28J11/1267-10-27J11
Hen. 3	50	1265-10-28J11/1266-10-27J11
Hen. 3	49	1264-10-28J11/1265-10-27J11
Hen. 3	8	1223-10-28J11/1224-10-27J11
Hen. 3	7	1222-10-28J11/1223-10-27J11
Hen. 3	6	1221-10-28J11/1222-10-27J11
Hen. 3	5	1220-10-28J11/1221-10-27J11
Hen. 3	48	1263-10-28J11/1264-10-27J11
Hen. 3	47	1262-10-28J11/1263-10-27J11
Hen. 3	46	1261-10-28J11/1262-10-27J11
Hen. 3	45	1260-10-28J11/1261-10-27J11
Hen. 3	44	1259-10-28J11/1260-10-27J11
Hen. 3	43	1258-10-28J11/1259-10-27J11
Hen. 3	52	1267-10-28J11/1268-10-27J11
Hen. 3	53	1268-10-28J11/1269-10-27J11
Hen. 3	54	1269-10-28J11/1270-10-27J11
Hen. 3	55	1270-10-28J11/1271-10-27J11
Hen. 3	56	1271-10-28J11/1272-10-27J11
Hen. 3	57	1272-10-28J11/1272-11-16J11
Hen. 3	9	1224-10-28J11/1225-10-27J11
Hen. 3	10	1225-10-28J11/1226-10-27J11
Hen. 3	11	1226-10-28J11/1227-10-27J11
Hen. 3	12	1227-10-28J11/1228-10-27J11
Hen. 3	13	1228-10-28J11/1229-10-27J11
Hen. 3	14	1229-10-28J11/1230-10-27J11
Hen. 3	15	1230-10-28J11/1231-10-27J11
Hen. 3	16	1231-10-28J11/1232-10-27J11
Hen. 3	17	1232-10-28J11/1233-10-27J11
Hen. 3	18	1233-10-28J11/1234-10-27J11
Hen. 3	19	1234-10-28J11/1235-10-27J11
Hen. 3	20	1235-10-28J11/1236-10-27J11
Hen. 3	21	1236-10-28J11/1237-10-27J11
Hen. 3	30	1245-10-28J11/1246-10-27J11
Hen. 3	22	1237-10-28J11/1238-10-27J11
Hen. 3	23	1238-10-28J11/1239-10-27J11
Hen. 3	24	1239-10-28J11/1240-10-27J11
Hen. 3	25	1240-10-28J11/1241-10-27J11
Hen. 3	26	1241-10-28J11/1242-10-27J11
Hen. 4	14	1412-09-30J11/1413-03-20J11
Hen. 4	13	1411-09-30J11/1412-09-29J11
Hen. 4	12	1410-09-30J11/1411-09-29J11
Hen. 4	11	1409-09-30J11/1410-09-29J11
Hen. 4	10	1408-09-30J11/1409-09-29J11
Hen. 4	9	1407-09-30J11/1408-09-29J11
Hen. 4	8	1406-09-30J11/1407-09-29J11
Hen. 4	7	1405-09-30J11/1406-09-29J11
Hen. 4	6	1404-09-30J11/1405-09-29J11
Hen. 4	5	1403-09-30J11/1404-09-29J11
Hen. 4	4	1402-09-30J11/1403-09-29J11
Hen. 4	3	1401-09-30J11/1402-09-29J11
Hen. 4	2	1400-09-30J11/1401-09-29J11
Hen. 4	1	1399-09-30J11/1400-09-29J11
Hen. 5	10	1422-03-21J11/1422-08-31J11
Hen. 5	1	1413-03-21J11/1414-03-20J11
Hen. 5	2	1414-03-21J11/1415-03-20J11
Hen. 5	3	1415-03-21J11/1416-03-20J11
Hen. 5	4	1416-03-21J11/1417-03-20J11
Hen. 5	5	1417-03-21J11/1418-03-20J11
Hen. 5	6	1418-03-21J11/1419-03-20J11
Hen. 5	7	1419-03-21J11/1420-03-20J11
Hen. 5	8	1420-03-21J11/1421-03-20J11
Hen. 5	9	1421-03-21J11/1422-03-20J11
Hen. 6	8	1429-09-01J11/1430-08-31J11
Hen. 6	1	1422-09-01J11/1423-08-31J11
Hen. 6	2	1423-09-01J11/1424-08-31J11
Hen. 6	3	1424-09-01J11/1425-08-31J11
Hen. 6	4	1425-09-01J11/1426-08-31J11
Hen. 6	32	1453-09-01J11/1454-08-31J11
Hen. 6	31	1452-09-01J11/1453-08-31J11
Hen. 6	30	1451-09-01J11/1452-08-31J11
Hen. 6	29	1450-09-01J11/1451-08-31J11
Hen. 6	28	1449-09-01J11/1450-08-31J11
Hen. 6	27	1448-09-01J11/1449-08-31J11
Hen. 6	26	1447-09-01J11/1448-08-31J11
Hen. 6	25	1446-09-01J11/1447-08-31J11
Hen. 6	24	1445-09-01J11/1446-08-31J11
Hen. 6	23	1444-09-01J11/1445-08-31J11
Hen. 6	22	1443-09-01J11/1444-08-31J11
Hen. 6	21	1442-09-01J11/1443-08-31J11
Hen. 6	20	1441-09-01J11/1442-08-31J11
Hen. 6	19	1440-09-01J11/1441-08-31J11
Hen. 6	18	1439-09-01J11/1440-08-31J11
Hen. 6	17	1438-09-01J11/1439-08-31J11
Hen. 6	16	1437-09-01J11/1438-08-31J11
Hen. 6	15	1436-09-01J11/1437-08-31J11
Hen. 6	14	1435-09-01J11/1436-08-31J11
Hen. 6	13	1434-09-01J11/1435-08-31J11
Hen. 6	12	1433-09-01J11/1434-08-31J11
Hen. 6	11	1432-09-01J11/1433-08-31J11
Hen. 6	10	1431-09-01J11/1432-08-31J11
Hen. 6	9	1430-09-01J11/1431-08-31J11
Hen. 6	5	1426-09-01J11/1427-08-31J11
Hen. 6	6	1427-09-01J11/1428-08-31J11
Hen. 6	7	1428-09-01J11/1429-08-31J11
Hen. 6	39	1460-09-01J11/1461-03-04J11
Hen. 6	38	1459-09-01J11/1460-08-31J11
Hen. 6	37	1458-09-01J11/1459-08-31J11
Hen. 6	36	1457-09-01J11/1458-08-31J11
Hen. 6	35	1456-09-01J11/1457-08-31J11
Hen. 6	34	1455-09-01J11/1456-08-31J11
Hen. 6	33	1454-09-01J11/1455-08-31J11
Hen. 7	24	1508-08-22J11/1509-04-21J11
Hen. 7	23	1507-08-22J11/1508-08-21J11
Hen. 7	22	1506-08-22J11/1507-08-21J11
Hen. 7	21	1505-08-22J11/1506-08-21J11
Hen. 7	20	1504-08-22J11/1505-08-21J11
Hen. 7	19	1503-08-22J11/1504-08-21J11
Hen. 7	18	1502-08-22J11/1503-08-21J11
Hen. 7	17	1501-08-22J11/1502-08-21J11
Hen. 7	16	1500-08-22J11/1501-08-21J11
Hen. 7	15	1499-08-22J11/1500-08-21J11
Hen. 7	14	1498-08-22J11/1499-08-21J11
Hen. 7	13	1497-08-22J11/1498-08-21J11
Hen. 7	12	1496-08-22J11/1497-08-21J11
Hen. 7	11	1495-08-22J11/1496-08-21J11
Hen. 7	10	1494-08-22J11/1495-08-21J11
Hen. 7	9	1493-08-22J11/1494-08-21J11
Hen. 7	8	1492-08-22J11/1493-08-21J11
Hen. 7	7	1491-08-22J11/1492-08-21J11
Hen. 7	6	1490-08-22J11/1491-08-21J11
Hen. 7	5	1489-08-22J11/1490-08-21J11
Hen. 7	4	1488-08-22J11/1489-08-21J11
Hen. 7	3	1487-08-22J11/1488-08-21J11
Hen. 7	2	1486-08-22J11/1487-08-21J11
Hen. 7	1	1485-08-22J11/1486-08-21J11
Hen. 8	17	1525-04-22J11/1526-04-21J11
Hen. 8	38	1546-04-22J11/1547-01-28J11
Hen. 8	37	1545-04-22J11/1546-04-21J11
Hen. 8	36	1544-04-22J11/1545-04-21J11
Hen. 8	35	1543-04-22J11/1544-04-21J11
Hen. 8	34	1542-04-22J11/1543-04-21J11
Hen. 8	33	1541-04-22J11/1542-04-21J11
Hen. 8	32	1540-04-22J11/1541-04-21J11
Hen. 8	31	1539-04-22J11/1540-04-21J11
Hen. 8	30	1538-04-22J11/1539-04-21J11
Hen. 8	29	1537-04-22J11/1538-04-21J11
Hen. 8	28	1536-04-22J11/1537-04-21J11
Hen. 8	27	1535-04-22J11/1536-04-21J11
Hen. 8	26	1534-04-22J11/1535-04-21J11
Hen. 8	25	1533-04-22J11/1534-04-21J11
Hen. 8	24	1532-04-22J11/1533-04-21J11
Hen. 8	23	1531-04-22J11/1532-04-21J11
Hen. 8	22	1530-04-22J11/1531-04-21J11
Hen. 8	21	1529-04-22J11/1530-04-21J11
Hen. 8	20	1528-04-22J11/1529-04-21J11
Hen. 8	19	1527-04-22J11/1528-04-21J11
Hen. 8	18	1526-04-22J11/1527-04-21J11
Hen. 8	16	1524-04-22J11/1525-04-21J11
Hen. 8	15	1523-04-22J11/1524-04-21J11
Hen. 8	14	1522-04-22J11/1523-04-21J11
Hen. 8	13	1521-04-22J11/1522-04-21J11
Hen. 8	12	1520-04-22J11/1521-04-21J11
Hen. 8	11	1519-04-22J11/1520-04-21J11
Hen. 8	10	1518-04-22J11/1519-04-21J11
Hen. 8	9	1517-04-22J11/1518-04-21J11
Hen. 8	8	1516-04-22J11/1517-04-21J11
Hen. 8	7	1515-04-22J11/1516-04-21J11
Hen. 8	6	1514-04-22J11/1515-04-21J11
Hen. 8	5	1513-04-22J11/1514-04-21J11
Hen. 8	4	1512-04-22J11/1513-04-21J11
Hen. 8	3	1511-04-22J11/1512-04-21J11
Hen. 8	2	1510-04-22J11/1511-04-21J11
Hen. 8	1	1509-04-22J11/1510-04-21J11
Jac.	12	1614-03-25J11/1615-03-24J11
Jac.	13	1615-03-25J11/1616-03-24J11
Jac.	14	1616-03-25J11/1617-03-24J11
Jac.	15	1617-03-25J11/1618-03-24J11
Jac.	16	1618-03-25J11/1619-03-24J11
Jac.	17	1619-03-25J11/1620-03-24J11
Jac.	18	1620-03-25J11/1621-03-24J11
Jac.	19	1621-03-25J11/1622-03-24J11
Jac.	20	1622-03-25J11/1623-03-24J11
Jac.	22	1624-03-25J11/1625-03-24J11
Jac.	23	1625-03-25J11/1625-03-27J11
Jac.	8	1610-03-25J11/1611-03-24J11
Jac.	9	1611-03-25J11/1612-03-24J11
Jac.	10	1612-03-25J11/1613-03-24J11
Jac.	11	1613-03-25J11/1614-03-24J11
Jac.	21	1623-03-25J11/1624-03-24J11
Jac.	1	1603-03-25J11/1604-03-24J11
Jac.	2	1604-03-25J11/1605-03-24J11
Jac.	3	1605-03-25J11/1606-03-24J11
Jac.	4	1606-03-25J11/1607-03-24J11
Jac.	5	1607-03-25J11/1608-03-24J11
Jac.	6	1608-03-25J11/1609-03-24J11
Jac.	7	1609-03-25J11/1610-03-24J11
Jac. 2	3	1687-02-06J11/1688-02-05J11
Jac. 2	2	1686-02-06J11/1687-02-05J11
Jac. 2	1	1685-02-06J11/1686-02-05J11
Jac. 2	4	1688-02-06J11/1688-12-11J11
John	10	1208-05-15J11/1209-05-06J11
John	8	1206-05-11J11/1207-05-30J11
John	7	1205-05-19J11/1206-05-10J11
John	6	1204-06-03J11/1205-05-18J11
John	5	1203-05-15J11/1204-06-02J11
John	1	1199-05-27J11/1200-05-17J11
John	2	1200-05-18J11/1201-05-02J11
John	4	1202-05-23J11/1203-05-14J11
John	3	1201-05-03J11/1202-05-22J11
John	11	1209-05-07J11/1210-05-26J11
John	9	1207-05-31J11/1208-05-14J11
John	18	1216-05-19J11/1216-10-19J11
John	17	1215-05-28J11/1216-05-18J11
John	16	1214-05-08J11/1215-05-27J11
John	15	1213-05-23J11/1214-05-07J11
John	14	1212-05-03J11/1213-05-22J11
John	13	1211-05-12J11/1212-05-02J11
John	12	1210-05-27J11/1211-05-11J11
Mary	2	1554-07-06J11/1554-07-24J11
Mary	1	1553-07-06J11/1554-07-05J11
Phil. & M.	3	1556-07-25J11/1557-07-24J11
Phil. & M.	1	1554-07-25J11/1555-07-24J11
Phil. & M.	2	1555-07-25J11/1556-07-24J11
Phil. & M.	4	1557-07-25J11/1558-07-24J11
Phil. & M.	5	1558-07-25J11/1558-11-17J11
Rich.	2	1190-09-03J11/1191-09-02J11
Rich.	10	1198-09-03J11/1199-04-06J11
Rich.	9	1197-09-03J11/1198-09-02J11
Rich.	8	1196-09-03J11/1197-09-02J11
Rich.	7	1195-09-03J11/1196-09-02J11
Rich.	6	1194-09-03J11/1195-09-02J11
Rich.	5	1193-09-03J11/1194-09-02J11
Rich.	4	1192-09-03J11/1193-09-02J11
Rich.	3	1191-09-03J11/1192-09-02J11
Rich.	1	1189-09-03J11/1190-09-02J11
Rich. 2	3	1379-06-22J11/1380-06-21J11
Rich. 2	4	1380-06-22J11/1381-06-21J11
Rich. 2	5	1381-06-22J11/1382-06-21J11
Rich. 2	6	1382-06-22J11/1383-06-21J11
Rich. 2	16	1392-06-22J11/1393-06-21J11
Rich. 2	15	1391-06-22J11/1392-06-21J11
Rich. 2	14	1390-06-22J11/1391-06-21J11
Rich. 2	13	1389-06-22J11/1390-06-21J11
Rich. 2	12	1388-06-22J11/1389-06-21J11
Rich. 2	11	1387-06-22J11/1388-06-21J11
Rich. 2	10	1386-06-22J11/1387-06-21J11
Rich. 2	9	1385-06-22J11/1386-06-21J11
Rich. 2	7	1383-06-22J11/1384-06-21J11
Rich. 2	8	1384-06-22J11/1385-06-21J11
Rich. 2	23	1399-06-22J11/1399-09-29J11
Rich. 2	22	1398-06-22J11/1399-06-21J11
Rich. 2	21	1397-06-22J11/1398-06-21J11
Rich. 2	20	1396-06-22J11/1397-06-21J11
Rich. 2	17	1393-06-22J11/1394-06-21J11
Rich. 2	19	1395-06-22J11/1396-06-21J11
Rich. 2	18	1394-06-22J11/1395-06-21J11
Rich. 2	1	1377-06-22J11/1378-06-21J11
Rich. 2	2	1378-06-22J11/1379-06-21J11
Rich. 3	2	1484-06-26J11/1485-06-25J11
Rich. 3	1	1483-06-26J11/1484-06-25J11
Rich. 3	3	1485-06-26J11/1485-08-22J11
Stephen	10	1144-12-26J11/1145-12-25J11
Stephen	9	1143-12-26J11/1144-12-25J11
Stephen	8	1142-12-26J11/1143-12-25J11
Stephen	7	1141-12-26J11/1142-12-25J11
Stephen	6	1140-12-26J11/1141-12-25J11
Stephen	5	1139-12-26J11/1140-12-25J11
Stephen	4	1138-12-26J11/1139-12-25J11
Stephen	3	1137-12-26J11/1138-12-25J11
Stephen	2	1136-12-26J11/1137-12-25J11
Stephen	1	1135-12-26J11/1136-12-25J11
Stephen	19	1153-12-26J11/1154-10-25J11
Stephen	16	1150-12-26J11/1151-12-25J11
Stephen	18	1152-12-26J11/1153-12-25J11
Stephen	17	1151-12-26J11/1152-12-25J11
Stephen	13	1147-12-26J11/1148-12-25J11
Stephen	14	1148-12-26J11/1149-12-25J11
Stephen	15	1149-12-26J11/1150-12-25J11
Stephen	12	1146-12-26J11/1147-12-25J11
Stephen	11	1145-12-26J11/1146-12-25J11
Vict.	19	1855-06-20/1856-06-19
Vict.	1	1837-06-20/1838-06-19
Vict.	2	1838-06-20/1839-06-19
Vict.	3	1839-06-20/1840-06-19
Vict.	4	1840-06-20/1841-06-19
Vict.	5	1841-06-20/1842-06-19
Vict.	6	1842-06-20/1843-06-19
Vict.	7	1843-06-20/1844-06-19
Vict.	8	1844-06-20/1845-06-19
Vict.	9	1845-06-20/1846-06-19
Vict.	10	1846-06-20/1847-06-19
Vict.	11	1847-06-20/1848-06-19
Vict.	12	1848-06-20/1849-06-19
Vict.	13	1849-06-20/1850-06-19
Vict.	14	1850-06-20/1851-06-19
Vict.	15	1851-06-20/1852-06-19
Vict.	16	1852-06-20/1853-06-19
Vict.	17	1853-06-20/1854-06-19
Vict.	18	1854-06-20/1855-06-19
Vict.	20	1856-06-20/1857-06-19
Vict.	21	1857-06-20/1858-06-19
Vict.	22	1858-06-20/1859-06-19
Vict.	23	1859-06-20/1860-06-19
Vict.	24	1860-06-20/1861-06-19
Vict.	25	1861-06-20/1862-06-19
Vict.	26	1862-06-20/1863-06-19
Vict.	27	1863-06-20/1864-06-19
Vict.	28	1864-06-20/1865-06-19
Vict.	29	1865-06-20/1866-06-19
Vict.	30	1866-06-20/1867-06-19
Vict.	31	1867-06-20/1868-06-19
Vict.	32	1868-06-20/1869-06-19
Vict.	33	1869-06-20/1870-06-19
Vict.	34	1870-06-20/1871-06-19
Vict.	35	1871-06-20/1872-06-19
Vict.	36	1872-06-20/1873-06-19
Vict.	37	1873-06-20/1874-06-19
Vict.	38	1874-06-20/1875-06-19
Vict.	39	1875-06-20/1876-06-19
Vict.	40	1876-06-20/1877-06-19
Vict.	41	1877-06-20/1878-06-19
Vict.	42	1878-06-20/1879-06-19
Vict.	43	1879-06-20/1880-06-19
Vict.	44	1880-06-20/1881-06-19
Vict.	45	1881-06-20/1882-06-19
Vict.	46	1882-06-20/1883-06-19
Vict.	47	1883-06-20/1884-06-19
Vict.	48	1884-06-20/1885-06-19
Vict.	49	1885-06-20/1886-06-19
Vict.	50	1886-06-20/1887-06-19
Vict.	51	1887-06-20/1888-06-19
Vict.	52	1888-06-20/1889-06-19
Vict.	53	1889-06-20/1890-06-19
Vict.	54	1890-06-20/1891-06-19
Vict.	55	1891-06-20/1892-06-19
Vict.	56	1892-06-20/1893-06-19
Vict.	57	1893-06-20/1894-06-19
Vict.	58	1894-06-20/1895-06-19
Vict.	59	1895-06-20/1896-06-19
Vict.	60	1896-06-20/1897-06-19
Vict.	61	1897-06-20/1898-06-19
Vict.	62	1898-06-20/1899-06-19
Vict.	63	1899-06-20/1900-06-19
Vict.	64	1900-06-20/1901-01-22
Will.	21	1086-10-14J11/1087-09-09J11
Will.	2	1067-10-14J11/1068-10-13J11
Will.	1	1066-10-14J11/1067-10-13J11
Will.	3	1068-10-14J11/1069-10-13J11
Will.	4	1069-10-14J11/1070-10-13J11
Will.	5	1070-10-14J11/1071-10-13J11
Will.	6	1071-10-14J11/1072-10-13J11
Will.	7	1072-10-14J11/1073-10-13J11
Will.	8	1073-10-14J11/1074-10-13J11
Will.	9	1074-10-14J11/1075-10-13J11
Will.	10	1075-10-14J11/1076-10-13J11
Will.	11	1076-10-14J11/1077-10-13J11
Will.	12	1077-10-14J11/1078-10-13J11
Will.	13	1078-10-14J11/1079-10-13J11
Will.	14	1079-10-14J11/1080-10-13J11
Will.	15	1080-10-14J11/1081-10-13J11
Will.	16	1081-10-14J11/1082-10-13J11
Will.	17	1082-10-14J11/1083-10-13J11
Will.	18	1083-10-14J11/1084-10-13J11
Will.	19	1084-10-14J11/1085-10-13J11
Will.	20	1085-10-14J11/1086-10-13J11
Will. 2	2	1088-09-26J11/1089-09-25J11
Will. 2	13	1099-09-26J11/1100-08-02J11
Will. 2	12	1098-09-26J11/1099-09-25J11
Will. 2	11	1097-09-26J11/1098-09-25J11
Will. 2	10	1096-09-26J11/1097-09-25J11
Will. 2	9	1095-09-26J11/1096-09-25J11
Will. 2	8	1094-09-26J11/1095-09-25J11
Will. 2	7	1093-09-26J11/1094-09-25J11
Will. 2	6	1092-09-26J11/1093-09-25J11
Will. 2	5	1091-09-26J11/1092-09-25J11
Will. 2	4	1090-09-26J11/1091-09-25J11
Will. 2	3	1089-09-26J11/1090-09-25J11
Will. 2	1	1087-09-26J11/1088-09-25J11
Will. 3	1	1694-12-28J11/1695-12-27J11
Will. 3	8	1701-12-28J11/1702-03-08J11
Will. 3	7	1700-12-28J11/1701-12-27J11
Will. 3	6	1699-12-28J11/1700-12-27J11
Will. 3	5	1698-12-28J11/1699-12-27J11
Will. 3	4	1697-12-28J11/1698-12-27J11
Will. 3	3	1696-12-28J11/1697-12-27J11
Will. 3	2	1695-12-28J11/1696-12-27J11
Will. 4	3	1832-06-26/1833-06-25
Will. 4	4	1833-06-26/1834-06-25
Will. 4	5	1834-06-26/1835-06-25
Will. 4	6	1835-06-26/1836-06-25
Will. 4	7	1836-06-26/1837-06-20
Will. 4	1	1830-06-26/1831-06-25
Will. 4	2	1831-06-26/1832-06-25
W. & M.	1	1689-02-13J11/1690-02-12J11
W. & M.	6	1694-02-13J11/1694-12-27J11
W. & M.	5	1693-02-13J11/1694-02-12J11
W. & M.	4	1692-02-13J11/1693-02-12J11
W. & M.	3	1691-02-13J11/1692-02-12J11
W. & M.	2	1690-02-13J11/1691-02-12J11
